label,raw_label,start_time_sec,end_time_sec,start_sample,end_sample,segment_kind,segment_source
REST,BASELINE,0.0,47.78753662109375,0,11908,baseline,inferred_pre_first_active_gap
LEFT,LEFT,47.79154968261719,65.29652404785156,11909,16271,movement1,marker_1_to_2
REST,REST,65.300537109375,115.43571472167969,16272,28765,rest,inferred_between_active_gaps
LEFT,LEFT,115.43972778320312,123.23309326171875,28766,30708,movement1,marker_1_to_2
REST,REST,123.23710632324219,129.63392639160156,30709,32303,rest,inferred_between_active_gaps
RIGHT,RIGHT,129.637939453125,135.36859130859375,32304,33732,movement2,marker_3_to_4
REST,REST,135.3726043701172,150.56204223632812,33733,37518,rest,inferred_between_active_gaps
LEFT,LEFT,150.56605529785156,159.31051635742188,37519,39698,movement1,marker_1_to_2
REST,REST,159.3145294189453,162.87010192871094,39699,40585,rest,inferred_between_active_gaps
RIGHT,RIGHT,162.87411499023438,172.18040466308594,40586,42905,movement2,marker_3_to_4
REST,REST,172.18441772460938,182.69863891601562,42906,45526,rest,inferred_between_active_gaps
LEFT,LEFT,182.70265197753906,191.27053833007812,45527,47662,movement1,marker_1_to_2
REST,REST,191.27455139160156,196.9409942626953,47663,49075,rest,inferred_between_active_gaps
RIGHT,RIGHT,196.94500732421875,206.36366271972656,49076,51423,movement2,marker_3_to_4
REST,REST,206.36767578125,222.60853576660156,51424,55471,rest,inferred_between_active_gaps
LEFT,LEFT,222.612548828125,230.62261962890625,55472,57468,movement1,marker_1_to_2
REST,REST,230.6266326904297,235.92788696289062,57469,58790,rest,inferred_between_active_gaps
RIGHT,RIGHT,235.93190002441406,245.88027954101562,58791,61270,movement2,marker_3_to_4
REST,REST,245.88429260253906,260.110595703125,61271,64816,rest,inferred_between_active_gaps
LEFT,LEFT,260.11460876464844,268.0404052734375,64817,66792,movement1,marker_1_to_2
REST,REST,268.04441833496094,273.1771240234375,66793,68072,rest,inferred_between_active_gaps
RIGHT,RIGHT,273.18113708496094,280.94239807128906,68073,70007,movement2,marker_3_to_4
REST,REST,280.9464111328125,296.1759796142578,70008,73803,rest,inferred_between_active_gaps
LEFT,LEFT,296.17999267578125,306.3009338378906,73804,76326,movement1,marker_1_to_2
REST,REST,306.30494689941406,311.3894958496094,76327,77594,rest,inferred_between_active_gaps
RIGHT,RIGHT,311.3935089111328,319.28318786621094,77595,79561,movement2,marker_3_to_4
REST,REST,319.2872009277344,334.2960510253906,79562,83302,rest,inferred_between_active_gaps
LEFT,LEFT,334.30006408691406,342.0211944580078,83303,85227,movement1,marker_1_to_2
REST,REST,342.02520751953125,346.3231964111328,85228,86299,rest,inferred_between_active_gaps
RIGHT,RIGHT,346.32720947265625,354.2008361816406,86300,88262,movement2,marker_3_to_4
REST,REST,354.20484924316406,369.16554260253906,88263,91991,rest,inferred_between_active_gaps
LEFT,LEFT,369.1695556640625,377.2077178955078,91992,93995,movement1,marker_1_to_2
REST,REST,377.21173095703125,382.42469787597656,93996,95295,rest,inferred_between_active_gaps
RIGHT,RIGHT,382.4287109375,391.45408630371094,95296,97545,movement2,marker_3_to_4
REST,REST,391.4580993652344,406.8200988769531,97546,101374,rest,inferred_between_active_gaps
LEFT,LEFT,406.82411193847656,414.40077209472656,101375,103263,movement1,marker_1_to_2
REST,REST,414.40478515625,419.69801330566406,103264,104583,rest,inferred_between_active_gaps
RIGHT,RIGHT,419.7020263671875,427.28269958496094,104584,106473,movement2,marker_3_to_4
REST,REST,427.2867126464844,443.32691955566406,106474,110471,rest,inferred_between_active_gaps
LEFT,LEFT,443.3309326171875,451.64198303222656,110472,112543,movement1,marker_1_to_2
REST,REST,451.64599609375,456.78672790527344,112544,113825,rest,inferred_between_active_gaps
RIGHT,RIGHT,456.7907409667969,464.81285095214844,113826,115825,movement2,marker_3_to_4
REST,REST,464.8168640136719,481.75599670410156,115826,120047,rest,inferred_between_active_gaps
LEFT,LEFT,481.760009765625,488.87115478515625,120048,121820,movement1,marker_1_to_2
REST,REST,488.8751678466797,493.8754425048828,121821,123067,rest,inferred_between_active_gaps
RIGHT,RIGHT,493.87945556640625,502.09820556640625,123068,125116,movement2,marker_3_to_4
REST,REST,502.1022186279297,508.73179626464844,125117,126769,rest,inferred_between_active_gaps
